Kategorie;Autor;Titel;Erscheinungsjahr;Autor2;ISBN
Historyczne;Reulecke Jürgen, Schmook Reinhard, Jeremicz Jacek;Kriegskinder in Ostdeutschland und Polen;2008;Verlag für BerlinßBrandenburg;978-3-86650-531-5
Historyczne;Romanowski Piotr;Z dziejów Złotego Stoku / Güttlerowie / Kronika rodzinna w XIV częściach;2016;Usługi Turystyczne “AURUM” Elżbieta Szumska;978-83-940141-2-4
Historyczne;Sheffer Edith;Dzieci Aspergera / Medycyna na usługach III Rzeszy;2023;Wydawnictwo Poznańskie;978-83-67324-59-5
Historyczne;Stasiak Anna;Słowiański Przewodnik po świętowaniu;2025;Insignis;978-83-68639-00-1
Historyczne;Steffen Heinrich;Rückblicke/Erinnerungen an Wittenberg 1920-1939;1991;Geiger-Verlag;3-89264-611-2
Historyczne;Szulczyński Andrzej;Zarys dziejów Polonii niemieckiej z informatorem;1999;Słowo;
Historyczne;Waxman Zoea;Kobiety Holocaustu. Historia feministyczna;2019;Wydawnictwo Poznańskie;978-83-66381-85-8
Historyczne;Wolkowicz Shlomo;Das Grab bei Zloczow;1966;Wichern-Verlag;3-88981-092-6
Historyczne;Wunderer Daniel (red.);Budujemy mosty;2010;Kreisau-Initiative Berlin e.V.;
Historyczne;Załuski Zbigniew;7 polskich grzechów głównych;1968;Iskry;
Historyczne;zespół redakcyjny;Encyklopedia Powstań Śląskich;1982;Instytut Śląski w Opolu;
Historyczne;Żurek Robert;Kościół Katolicki i relacje polsko-niemieckie po 1945r.;2016;Ośrodek “Pamięć i Przyszłość”;987-83-939223-9-0
Historyczne;Żurek Robert;Polen - mein Weg zur Freiheit;2015;Instytut Pamięci Narodowej;978-83-7629-911-2
Kryminał | Thriller;Alem Raja;Wszystkie drogi prowadzą do Mekki;2013;smak słowa;978-83-62122-34-9
Kryminał | Thriller;Alex Joe;Jesteś tylko diabłem;2011;Wydawnictwo Dolnośląskie;978-83-245-9019-3
Kryminał | Thriller;Baldacci David;Geniusz;2008;Przedsiębiorstwo Wydawnicze Rzeczpospolita SA;978-83-60192-45-0
Kryminał | Thriller;Bonda Katarzyna;Lampiony . Wszystko rodzi się z ognia i do niego powraca.;2016;Muza;978-83-287-0383-4
Kryminał | Thriller;Bottini Olivier;Śmierć w cichym zakątku życia;2021;Książkowe Klimaty;978-83-66505-23-0
Kryminał | Thriller;Chmielarz Wojciech;Złotowłosa;2025;Marginesy;978-83-68549-19-5
Kryminał | Thriller;Christie Agatha;Noc w bibliotece;2010;Wydawnictwo Dolnośląskie;978–83-245-8667-7
Kryminał | Thriller;Christie Agatha;Pajęczyna;2010;Wydawnictwo Dolnośląskie;978–83-245-8861-9
Kryminał | Thriller;Cook Robin;Nosiciel;1999;REBIS;83-7120-834-0
Kryminał | Thriller;Dahlquist Gordon;Szklane księgi porywaczy snów;2008;Albatros A.Kuryłowicz;978-83-7359-648-1
Kryminał | Thriller;Flynn Gillian;Zaginiona dziewczyna;2014;Burda;978-83-7778-791-5
Kryminał | Thriller;Galiński Jacek;Kółko się pani urwało;;WAB;978-83-28-6362-4
Kryminał | Thriller;Gardner Erle Stanley;Sprawa kulawego kanarka;2004;Hachette;83-7184-245-7
Kryminał | Thriller;Gorzka Mieczysław;Rok Zmian;2025;Czarna Owca;978-83-8382-298-3
Kryminał | Thriller;Guzowska Marta;Ofiara Polikseny;;Foksal;978-83-280-0955-4
Kryminał | Thriller;Hannah Sophie;Na ratunek;2008;G+J;978-83-61299-26-4
Kryminał | Thriller;Kallentoft Mons;Jesienna sonata;2011;REBIS;978-83-7510-652-7
Kryminał | Thriller;Krajewski Marek, Czubaj Mariusz;Aleja samobójców;2008;W.A.B.;978-83-7414-380-6
Kryminał | Thriller;Mankell Henning;Psy z Rygi;2006;WAB;978-83-7414-227-4
Kryminał | Thriller;Marklund Liza;Czarna seria;2015;czarna owca;978-83-7554-875-4
Kryminał | Thriller;Marrell David;Łowca;2007;Albatros A.Kuryłowicz;978-837359-536-1
Kryminał | Thriller;Marwood Alex;Zatruty ogród;2021;Albatros;978-83-8215-757-4
Kryminał | Thriller;Mróz Remigiusz;Oskarżenie;;Edipresse;978-83-8177-371-3
Kryminał | Thriller;Mróz Remigiusz;Węzeł Czasu;2025;Wydawnictwo W.A.B;978-83-8425-415-8
Kryminał | Thriller;Puzyńska Katarzyna;Martwiec;2021;Prószyński i S-ka;978-83-8234-185-0
Kryminał | Thriller;Puzyńska Katarzyna;Nic Takiego;2025;Prószyński i S-ka;978-83-8391-309-4
Kryminał | Thriller;Puzyńska Katarzyna;Pokrzyk;2019;Prószyński i S-ka;978-83-8169-160-4
Kryminał | Thriller;Rankin Ian;Święci biblii cienia;2016;Albatros;978-83-7985-871-2
Kryminał | Thriller;Schätzing Frank;Odwet oceanu;2006;Wydawnictwo Dolnośląskie;978-83-7384-580-0
Kryminał | Thriller;Silva Daniel;Portret szpiega;2012;MUZA;978-83-7758-263-3
Kryminał | Thriller;Silva Daniel;Sprawa Rembrandta;2012;MUZA;978-83-7758-162-9
Kryminał | Thriller;Silva Daniel;Upadły anioł;2013;MUZA;978-83-7758-501-6
Kryminał | Thriller;Silva Daniel;Wielki skok;2015;MUZA;978-83-287-0079-6
Kryminał | Thriller;Szamałek Jakub;Czytanie z kości;2015;MUZA;978-83-287-0132-8
Młodzieżowe | Young Adult;Clare Cassandra;Miasto kości;2009;Wydawnictwo MAG;978-83-7480-130-0
Młodzieżowe | Young Adult;Clare Cassandra;Miasto popiołów;2009;Wydawnictwo MAG;978-83-7480-135-5
Młodzieżowe | Young Adult;Clare Cassandra;Miasto szkła;2010;Wydawnictwo MAG;978-83-7480-162-1
Młodzieżowe | Young Adult;Funke Cornelia;Atramentowe serce;2005;Egmont;83-237-9991-1
Młodzieżowe | Young Adult;Gomulicki Wiktor;Wspomnienia niebieskiego mundurka;2014;Bellona;978-83-11-13409-6
Młodzieżowe | Young Adult;London Jack;Biały Kieł;1995;Siedmioróg;83-86685-19-0
Młodzieżowe | Young Adult;Meyer Stephanie;Zmierzch;2009;Wydawnictwo Dolnośląskie;978-83-245-8823-7
Młodzieżowe | Young Adult;Montgomery Lucy Maud;Ania na uniwersytecie;1986;Nasza Książka;83-10-07850-1
Młodzieżowe | Young Adult;Montgomery Lucy Maud;Ania z Avonlea;1986;Nasza Książka;83-10-07655-x
Młodzieżowe | Young Adult;Montgomery Lucy Maud;Ania z Szumiących Topoli;1986;Nasza Księgarnia;83-10-07851-x
Młodzieżowe | Young Adult;Montgomery Lucy Maud;Ania ze Złotego Brzegu;1990;nasza Księgarnia;83-10-09071-4
Młodzieżowe | Young Adult;Montgomery Lucy Maud;Dolina Tęczy;1987;Nasza Księgarnia;83-10-08123-5
Młodzieżowe | Young Adult;Montgomery Lucy Maud;Rilla ze Złotego Brzegu;1986;Nasza Księgarnia;83-10-08124-3
Młodzieżowe | Young Adult;Montgomery Lucy Maud;Wymarzony dom Ani;1986;Nasza Księgarnia;83-10-08102-2
Młodzieżowe | Young Adult;Orlińska Zuzanna;Biały teatr panny Nehemias;;Literatura;978-83-7672-536-9
Młodzieżowe | Young Adult;Ryrych Katarzyna;Siódma piszczałka;2017;Ezop;978-83-65230-18-8
Młodzieżowe | Young Adult;Siesicka Krystyna;-?... -Zapytał czas;1997;Akapit Press;83-86129-94-4
Młodzieżowe | Young Adult;Siesicka Krystyna;Kapryśna piątkowa sobota;2003;Akapit Press;83-88790-24-2
Młodzieżowe | Young Adult;Stewart Sean;Pamiętnik Cathy;;Egmont;978-83-237-8531-6
Młodzieżowe | Young Adult;Żeromski Stefan;Syzyfowe prace;2013;GREG;978-83-7327-188-3
Poezja;Dymowski Eligiusz;Zwyczajność rzeczy;2012;Księgarnia Akademicka;978-83-7638-238-8
Poezja;Franczak Jerzy;Samoobsługa;1997;Krakowski Klub Artystyczno-Literacki;83-85816-51-8
Poezja;Ginczanka Zuzanna;O centaurach;2015;Wydawnictwo J.Przeworskiego;978-83-61785-61-3
Poezja;Jurgoński Marek;Mniejsza epopeja;2015;Oficyna Wydawnicza Uniwersytetu Zielonogórskiego;978-83-7842-173-3
Poezja;Konopnicka Maria;Wybór poezji;1962;Czytelnik;
Poezja;Królikowska Krystyna;Kolory;2009;;978-83-919140-1-6
Poezja;Królikowska Krystyna;Owocne lata;2008;Wydawnictwo Wyższej Szkoły Rozwoju Lokalnego w Żyrardowie;978-83-919140-6-9
Poezja;Królikowska Krystyna;Poetom wszystko wolno…;2004;;83-919140-1-1
Poezja;Lubieniecki Zygmunt;A jednak serce…;2017;Bogdan Kokot vel Kokociński;978-83-948259-9-7
Poezja;Mickiewicz Adam;To lubię…;1984;Krajowa Agencja Wydawnicza;
Poezja;Minkiewicz Janusz;Bilans osobisty;2001;Trio;83-88542-07-9
Poezja;Olbrychski Daniel (wyb.);Chwasty polskie;2013;Erotica;978-83-7747-902-5
Poezja;Papuzińska Joanna;Zaczekaj;2019;Piętro Wyżej;978-83-7672-591-8
Poezja;Pollakówna Joanna;Dziecko-drzewo;1992;Oficyna Literacka;83-85158-37-5
Poezja;Próchniak Paweł;Wiersze na wietrze;2008;Wydawnictwo Pasaże;978-83-927752-4-9
Poezja;Różewicz Tadeusz;Matka odchodzi;2000;Wydawnictwo Dolnośląskie;83-7023-735-5
Poezja;Różewicz Tadeusz;Zawsze fragment;1998;Wydawnictwo Dolnośląskie;83-7023-648-0
Poezja;Sosnowski Andrzej;Dożynki;2006;Biuro Literackie;83-88515-81-0
Poezja;Szaruga Leszek;Trochę inne historie;;CONVIVO;978-83-942338-7-7
Poezja;Szlosarek Artur;List do ściany;2000;Wydawnictwo Literackie;83-08-03035-1
Poezja;Szlosarek Artur;Ołówek rzeźnika;2012;WBPiCAK w Poznaniu;978-83-62717-49-1
Poezja;Szlosarek Artur;Pod obcym niebem;2005;Wydawnictwo Literackie;83-08-03806-9
Poezja;Szlosarek Artur;Święto szparagów;2010;a5;978-83-61298-24-3
Poezja;Wiktorowska-Chmielewska Agnieszka;i tu, i tu;2014;Towarzystwo Słowaków w Polsce;978-83-7490-792-7
Poezja;Wiktorowska-Chmielewska Agnieszka;Szczęściodoły;2016;Księgarnia Akademicka;978-83-7638-755-0
Poezja;Zagajewski Adam;Anteny;2005;a5;83-85568-75-1
Poezja;Zimny Patryk;Mantry;2015;Oficyna Wydawnicza Tysiąclecia;978-83-934228-9
Poradniki | Popularnonaukowe;Canetti Elias;Masa i władza;1996;Czytelnik;83-07-02487-0
Poradniki | Popularnonaukowe;Cooke Kaz;Dzieciozmagania;;insignis;978-83-61428-14-5
Poradniki | Popularnonaukowe;David Anthony;Spojrzenie w otchłań / Neuropsychiatria i tajemnice ludzkich umysłów;2020;Znak;978-83-240-7150-0
Poradniki | Popularnonaukowe;De Grasse Tyson;Astrofizyka dla zabieganych;2017;Insignis;978-83-65743-53-4
Poradniki | Popularnonaukowe;Elderge John & Stasi;Urzekająca;2005;Thomas Nelson Publishers;83-86941-44-8
Poradniki | Popularnonaukowe;Gray John;Marsjanie i Wenusjanki zawsze razem;1998;Zysk i S-ka;83-7150-430-6
Poradniki | Popularnonaukowe;Gray John;Zakochani Marsjanie i Wenusjanki;1999;Zysk i S-ka;83-7150-496-9
Poradniki | Popularnonaukowe;Hogg Tracy, Blau Melinda;Język niemowląt;2016;Świat Książki;978-83-8031-382-8
Poradniki | Popularnonaukowe;Hołownia Szymon;Boskie zwierzęta;2018;Znak;978-83-240-5449-7
Poradniki | Popularnonaukowe;Leman Kevin;Jak wychować dziecko i nie oszaleć;2014;aSPe;978-83-7482-613-6
Poradniki | Popularnonaukowe;McKay Matthew, Fanning Patrick, Paleg Kim, Landis Dana;Kiedy twoja złość krzywdzi dziecko;2013;MiND;978-83-62445-14-1
Poradniki | Popularnonaukowe;Miller Katarzyna;Kup kochance męża kwiaty;2011;Zwierciadło Sp. z o.o.;978-83-63014-12-4
Poradniki | Popularnonaukowe;Morgan Housel;Psychologia Pieniędzy;2024;Helion S.A.;978-83-289-0938-0
Poradniki | Popularnonaukowe;Murphy Paul Annie;Początki;2012;Świat Książki;978-83-7799-379-8
Poradniki | Popularnonaukowe;"Nolden Annette; Huppert Lena";Witaj na świecie / Ciąża tydzień po tygodniu;2016;Świat Książki;978-83-247-2061-3
Poradniki | Popularnonaukowe;Ptak Olga;Kto ukradł jutro?;;Albus;978-83-89284-39-6
Poradniki | Popularnonaukowe;Sajdek Wiesława (red.);Polska filozofia człowieka;Universitas;978-83-242-4189-7;
Poradniki | Popularnonaukowe;Skerkowski Marek;Księga imion;2013;Olesiejuk;978-83-7844-906-5
Poradniki | Popularnonaukowe;Szwed Anna (opr.);Po drugiej stronie lustra;2012;Polskie Towarzystwo Zapobiegania Narkomanii w Warszawie;
Poradniki | Popularnonaukowe;Vetulani Jerzy, Mazurek Maria;Bez ograniczeń /Jak rządzi nami mózg;2015;PWN;978-83-7705-795-7
Poradniki | Popularnonaukowe;Wojtyłło Ewa;Świętowanie Życia;;Wydawnictwo Literackie;978-83-08-08803
Poradniki | Popularnonaukowe;Zurer Pearsom Barbara;Jak wychować dziecko dwujęzyczne;2013;Media rodzina;978-83-7278-846-7
Reportaże | Podróżnicze;Anderman Jan;Brak tchu / Kraj świata;1990;Kantor Wydawniczy SAWW;83-85066-19-5
Reportaże | Podróżnicze;Bogoryja-Zakrzewska Hanna, Błaszczyk Katarzyna;Zdarzyło się naprawdę. Opowieści reporterskie;2019;Wydawnictwo Znak;978-83-240-5709-2
Reportaże | Podróżnicze;Bratkowski Piotr;Prywatna taśmoteka;2003;Lampa i Iskra Boża;83-86735-30-9
Reportaże | Podróżnicze;Chomątowska Beata;Prawdziwych przyjaciół poznaje się w biedzie;2013;Czarne;978-83-7536-555-9
Reportaże | Podróżnicze;Czartoryska Wiesława T. (red.);Wyfrunęli;2011;Łomża;978-83-85734-92-5
Reportaże | Podróżnicze;Fleischer Michał;Moskwa, której już nie ma;2019;Primum Verbum;978-83-66354-02-9
Reportaże | Podróżnicze;Flis Joanna;To samo, ale inaczej;2025;Agora;978-83-8380-417-0
Reportaże | Podróżnicze;Forró Tomáš;Śpiew syren. W głąb wojennej Ukrainy;2025;Wydawnictwo Czarne;978-83-8396-183-5
Reportaże | Podróżnicze;Gauß Karl-Markus;Psożercy ze Svini;2005;Czarne;83-89755-15-7
Reportaże | Podróżnicze;Hoyer Katia;Kraj za Murem;2025;Wydawnictwo Poznańskie;978-83-68479-99-7
Reportaże | Podróżnicze;Kopińska Justyna;Czy Bóg wybaczy siostrze Bernadetcie?;2019;Świat Książki;978-83-813-9298-3
Reportaże | Podróżnicze;Krall Hanna;Zdążyć przed Panem Bogiem;2018;Wydawnictwo Literackie;978-83-08-08515-8
Reportaże | Podróżnicze;Kunicki Kazimierz, Ławecki Tomasz;Afery gospodarcze PRL;2017;Bellona;978-83-11-14443-9
Reportaże | Podróżnicze;Kwiatkowska-Moskalewicz Katarzyna;Zabić smoka;2016;Czarne;978-83-8049-271-4
Reportaże | Podróżnicze;Lubina-Cipińska Danuta;Ziemia z uśmiechu Boga / Rozmowy o Górnym Śląsku;;Forum Sztuk;83-87864-04-8
Reportaże | Podróżnicze;Opracowanie zbiorowe;Być Polakiem w Niemczech;2000;Instytut Zachodni;83-87668-05-3
Reportaże | Podróżnicze;Pałkiewicz Jacek;Sztuka podróżowania;2008;Zysk i S-ka;978-83-7506-198-7
Reportaże | Podróżnicze;Szczygieł Mariusz;Gottland;2006;Czarne;83-89755-62-9
Reportaże | Podróżnicze;Treuer Dawid;Witajcie w rezerwacie;2020;Czarne;978-83-8191-002-6
Reportaże | Podróżnicze;"Wiśniewski Janusz Leon; Domagalik Małgorzata";188 dni i nocy;2008;W.A.B.;978-83-62176-00-7
Reportaże | Podróżnicze;Witwicki Piotr;Znikająca Polska;2021;Zysk i S-ka;978-83-8202-417-3
Reportaże | Podróżnicze;Wojciechowska Martyna;Zapiski (pod)różne;2011;G+J;978-83-7596-182-9
Reportaże | Podróżnicze;Zadworny Adam;Tajemnica katastrofy na Bałtyku;2024;Wydawnictwo Czarne;978-83-8191-993-7
Reportaże | Podróżnicze;Zawadzka Anna;Gorycz;2025;Wydawnictwo Czarne;978-83-8396-186-6
Poezja;Koch, Agata;Du duftest wie die Sonne: Gedichte und Fotografien : deutsch / polnisch;2020;Treibgut Verlag;3-947674-25-2

